Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1906,.02,-.04,-.16,-.14,-.26,-.27,-.19,-.23,-.32,-.23,-.34,-.32,-.21,-.19,-.03,-.19,-.23,-.30
1907,-.27,-.29,-.23,-.28,-.34,-.32,-.30,-.29,-.28,-.25,-.35,-.35,-.30,-.29,-.29,-.28,-.30,-.29
1908,-.34,-.37,-.39,-.40,-.46,-.46,-.34,-.34,-.41,-.43,-.40,-.43,-.40,-.39,-.35,-.42,-.38,-.41
1909,-.50,-.45,-.41,-.52,-.59,-.51,-.45,-.32,-.41,-.46,-.52,-.54,-.47,-.46,-.46,-.50,-.43,-.46
1910,-.48,-.44,-.52,-.44,-.38,-.31,-.30,-.33,-.34,-.50,-.51,-.52,-.42,-.43,-.49,-.45,-.32,-.45
1911,-.52,-.55,-.57,-.61,-.57,-.65,-.46,-.44,-.43,-.33,-.20,-.10,-.45,-.49,-.53,-.58,-.52,-.32
1912,-.14,-.11,-.13,-.17,-.29,-.31,-.31,-.29,-.34,-.29,-.24,-.28,-.24,-.23,-.11,-.20,-.31,-.29
1913,-.24,-.24,-.38,-.28,-.32,-.39,-.20,-.20,-.26,-.23,-.23,-.13,-.26,-.27,-.25,-.32,-.26,-.24
1914,-.07,-.08,-.11,-.19,-.23,-.27,-.13,-.04,-.03,-.04,-.06,-.01,-.10,-.11,-.09,-.17,-.15,-.04
1915,-.12,.03,.05,.06,-.10,-.29,-.13,-.27,-.19,-.20,-.22,-.17,-.13,-.11,-.03,.01,-.23,-.20
1916,-.15,-.12,-.17,-.26,-.33,-.47,-.40,-.20,-.24,-.32,-.47,-.51,-.30,-.27,-.15,-.25,-.36,-.34
1917,-.62,-.59,-.53,-.46,-.38,-.38,-.19,-.06,-.16,-.26,-.35,-.28,-.35,-.37,-.57,-.46,-.21,-.26
1918,-.26,-.23,-.25,-.29,-.37,-.28,-.28,-.25,-.09,-.06,.03,.00,-.19,-.22,-.26,-.30,-.27,-.04
1919,.00,-.05,-.02,-.01,-.13,-.32,-.25,-.37,-.31,-.31,-.34,-.27,-.20,-.17,-.02,-.06,-.31,-.32
1920,-.33,-.23,-.24,-.27,-.32,-.44,-.34,-.20,-.08,-.13,-.07,-.20,-.24,-.24,-.28,-.28,-.33,-.09
1921,-.28,-.27,-.36,-.43,-.35,-.38,-.26,-.21,-.19,-.05,-.16,-.21,-.26,-.26,-.25,-.38,-.28,-.13
1922,-.27,-.25,-.19,-.30,-.47,-.45,-.28,-.29,-.29,-.33,-.17,-.23,-.29,-.29,-.25,-.32,-.34,-.26
